,PANADOL .EE05129  TOP OF MIND ,"CHAO .TV , SOBRE, DESDE UNIDAD ",TAPSIN .,TIDOL .LO MISMO PERO MAS BARATO,MEJORAL .,PHARAMOL.
RS ,,EN02077 ,EE05657 ,EE12165 ,EN09443 ,EN09365
Condición de venta ,Sin receta ,Sin receta ,Sin receta ,Sin receta ,Sin receta ,Sin receta
Procedencia ,Panamá ,PERU ,CHILE ,INDIA ,PERU ,PERU
Fabricante ,HALEON PANAMA ,LABORATORIOS GABBLAN S.A.C ,LABORATORIO MAVER SA ,STERLING HEALTHCARE LTD. ,MEDIFARMA ,LABORATORIOS GABBLAN S.A.C.
Venta PM DIC 24 ,"52,2 M ","6,6 M ",129 k ,358 k ,352 k ,Marca blanca de la cadenas
Lab ,Haleon ,Genoma Lab ,Maver ,Bonapharm ,Medifarma ,MKT Pharma
,Paracetamol 500mg  Fenilefrina 5mg ,Paracetamol 500mg  Fenilefrina 5mg ,Paracetamol 325mg  Fenilefrina 5mg ,Paracetamol 500mg  Fenilefrina 5mg  Clorfenamina 2mg ,Paracetamol 500mg  Fenilefrina 5mg  Clorfenamina 2mg ,Paracetamol 500mg Fenilefrina 5mg
Molécula,Clorfenamina 2mg ,Clorfenamina 2mg ,,,,Clorfenamina 2mg
Presentación ,52 sobres x2 comprimidos  Marca con mayor recordación ,50 sobres x 2 comp  Marca con recordación ,25 sobres x 2 comp  Presentación sobre x 2.  Marca con margen  atractivo para la  farmacia. El alivio de los  que saben,50 sobres x 2 comp  Producto con menos de 1 año  de lanzamiente. El mismo  antigripal pero un precio más  barato. Olvidate de la gripe a  un precio justo,52 sobres x 2 comp  Laoratorio reconocido por  estrategia comercial con  Mejor mejora Mejoral,50 sobres x 2 comp
Pilares de promoción,apoyada en publicidad. Alivia  7 síntomas de la gripe,apoyada en publicidad. Sobre  x 2 y a la gripe dile Chao,,,,Marca propia cadena. Para  aliviar los síntomas de la gripe  y para tu bolsillo.
,,,,,bonificaciones. Triple acción. ,
